"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e",""," ","21","222028","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","21","222029","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"22","222028","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","22","222120","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"23","222120","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","g","","23","222339","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","g",,"24","222339","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","24","222433","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"25","222434","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","25","222547","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"26","222548","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","D","","26","222824","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","D",,"27","222824","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","27","222842","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","27","223014","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","27","223015","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"28","223015","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","v","","28","223139","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","v",,"29","223139","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","29","223390","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"30","223391","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","30","223507","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"31","223509","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","31","223601","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"32","223602","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","32","223662","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"33","223662","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","33","223758","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"34","223758","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"228098","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","","(""Hello, my name is Paige Davidson"")","37","228103","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"229233","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","36","229236","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"235840","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","0",,"235840","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Next Highlighted Error",,,"250156","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","P","","0","277082","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","P",,"1","277083","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","277140","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1","277435","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","1","277436","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"2","277438","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","2","277448","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","2","277591","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","2","277592","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"3","277591","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","3","277598","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","3","277615","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","3","277616","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"4","277616","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","4","277627","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","4","277761","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","4","277762","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"5","277762","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"282190","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","1",,"282190","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"290839","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","","P","0","290843","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","0","291109","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"1","291110","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","291136","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Start",,,"296507","Main.py","1.1.2 for 2021-2022 @t1","0"
"r","Exit","0",,"296507","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Undefined",,,"68340546","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Undefined",,,"68340587","Main.py","1.1.2 for 2021-2022 @t1","0"
