"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"a","Deleting file task2",,,"239461","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Close Active Editor",,,"253736","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Deleting file task1.py",,,"266808","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Create Python script task1.py",,,"276226","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","


from modules.memoryboard import MemoryBoard
# This import gives some funcitonality if your run the program from the 
commandline. See the video in the assignment
# for instructions. Running in the terminal makes the game board play more like a 
game instead of scrolling and
# printing a new board every time.
# You'll need to comment a line down below in the printGameBoard() function if 
using PyCharm
import os
def main():
    playerTurn = 0 # Keep track of whose turn it is
    print(""Welcome to Memory\n"")
    # Get the Board Size
    cols = int(input(""Enter the number of columns on the board: ""))
    rows = int(input(""Enter the number of rows on the board: ""))
    # Get the number of players
    playerCount = int(input(""Enter the number of players: ""))
    scores = [0] * playerCount
    # Create the MemoryBoard object
    memoryBoard = MemoryBoard(rows, cols)
    # Game loop
    winner = False
    while not winner:
        selectedCards = [] # Track the cards the current player selected
        printGameBoard(scores, memoryBoard.getBoard())
        # Each turn is two card flips
        for i in range(2):
            xPos, yPos = eval(input(""Player "" + str(playerTurn + 1) + "" choose a 
card to flip: ""))
            memoryBoard.flipCard(xPos, yPos)
            printGameBoard(scores, memoryBoard.getBoard())
        # Player goes again if they get a match
        if memoryBoard.isMatch(selectedCards[0], selectedCards[1]):
            print(""You got a match!"")
            scores[playerTurn + 1] += 1
            winner = sum(scores) == cols * rows / 2
            # If the game is over show a different message
            if winner:
                print(""Hit Enter to Continue"")
            else:
                input(""Player "" + str(playerTurn) + "" hit Enter to go again."")
        else:
            memoryBoard.flipCard(selectedCards[0][0], selectedCards[1][0])
            memoryBoard.flipCard(selectedCards[0][1], selectedCards[1][1])
            print(""No Match"")
            playerTurn += 1
            input(""Hit Enter for Player "" + str(playerTurn + 1))
    # Find the winning score value
    highScore = max(scores)
    # Check for a tie/winner
    if scores.count(highScore) > 1:
        print(""The following players tied: "", end="""")
        for i in range(len(scores)):
            if scores[i] == highScore:
                print(i, end="" "")
    else:
        print(""The winner is player "" + str(scores.index(highScore) + 1))
# Print the scoreboard and gameboard
def printGameBoard(scores, board):
    os.system('cls||clear') # Comment this out if running in PyCharm
    for i in range(len(scores)):
        print(""Player "" + str(i + 1) + "": "" + str(scores[i]))
    print()
    print(board)
main()","0","276353","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","# Paige Davidson
# CS1400 - MO1
# Assignment ??
","","0","276354","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Reformat",,,"276406","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"278959","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","48","278964","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"279302","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","49","279304","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"281477","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"282729","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"285883","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","?","46","285896","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"286254","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","?","45","286256","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","7","","45","287272","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","7",,"46","287280","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","46","287627","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"298984","task1.py","1.1.2 for 2021-2022 @t1","0"
"p","from modules.memoryboard import MemoryBoard
# This import gives some funcitonality if your run the program from the 
commandline. See the video in the assignment
# for instructions. Running in the terminal makes the game board play more like a 
game instead of scrolling and
# printing a new board every time.
# You'll need to comment a line down below in the printGameBoard() function if 
using PyCharm
import os
def main():
    playerTurn = 0 # Keep track of whose turn it is
    print(""Welcome to Memory\n"")
    # Get the Board Size
    cols = int(input(""Enter the number of columns on the board: ""))
    rows = int(input(""Enter the number of rows on the board: ""))
    # Get the number of players
    playerCount = int(input(""Enter the number of players: ""))
    scores = [0] * playerCount
    # Create the MemoryBoard object
    memoryBoard = MemoryBoard(rows, cols)
    # Game loop
    winner = False
    while not winner:
        selectedCards = [] # Track the cards the current player selected
        printGameBoard(scores, memoryBoard.getBoard())
        # Each turn is two card flips
        for i in range(2):
            xPos, yPos = eval(input(""Player "" + str(playerTurn + 1) + "" choose a 
card to flip: ""))
            memoryBoard.flipCard(xPos, yPos)
            printGameBoard(scores, memoryBoard.getBoard())
        # Player goes again if they get a match
        if memoryBoard.isMatch(selectedCards[0], selectedCards[1]):
            print(""You got a match!"")
            scores[playerTurn + 1] += 1
            winner = sum(scores) == cols * rows / 2
            # If the game is over show a different message
            if winner:
                print(""Hit Enter to Continue"")
            else:
                input(""Player "" + str(playerTurn) + "" hit Enter to go again."")
        else:
            memoryBoard.flipCard(selectedCards[0][0], selectedCards[1][0])
            memoryBoard.flipCard(selectedCards[0][1], selectedCards[1][1])
            print(""No Match"")
            playerTurn += 1
            input(""Hit Enter for Player "" + str(playerTurn + 1))
    # Find the winning score value
    highScore = max(scores)
    # Check for a tie/winner
    if scores.count(highScore) > 1:
        print(""The following players tied: "", end="""")
        for i in range(len(scores)):
            if scores[i] == highScore:
                print(i, end="" "")
    else:
        print(""The winner is player "" + str(scores.index(highScore) + 1))
# Print the scoreboard and gameboard
def printGameBoard(scores, board):
    os.system('cls||clear') # Comment this out if running in PyCharm
    for i in range(len(scores)):
        print(""Player "" + str(i + 1) + "": "" + str(scores[i]))
    print()
    print(board)
main()",,"48","299032","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","46","299036","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","from modules.memoryboard import MemoryBoard
# This import gives some funcitonality if your run the program from the 
commandline. See the video in the assignment
# for instructions. Running in the terminal makes the game board play more like a 
game instead of scrolling and
# printing a new board every time.
# You'll need to comment a line down below in the printGameBoard() function if 
using PyCharm
import os
def main():
    playerTurn = 0 # Keep track of whose turn it is
    print(""Welcome to Memory\n"")
    # Get the Board Size
    cols = int(input(""Enter the number of columns on the board: ""))
    rows = int(input(""Enter the number of rows on the board: ""))
    # Get the number of players
    playerCount = int(input(""Enter the number of players: ""))
    scores = [0] * playerCount
    # Create the MemoryBoard object
    memoryBoard = MemoryBoard(rows, cols)
    # Game loop
    winner = False
    while not winner:
        selectedCards = [] # Track the cards the current player selected
        printGameBoard(scores, memoryBoard.getBoard())
        # Each turn is two card flips
        for i in range(2):
            xPos, yPos = eval(input(""Player "" + str(playerTurn + 1) + "" choose a 
card to flip: ""))
            memoryBoard.flipCard(xPos, yPos)
            printGameBoard(scores, memoryBoard.getBoard())
        # Player goes again if they get a match
        if memoryBoard.isMatch(selectedCards[0], selectedCards[1]):
            print(""You got a match!"")
            scores[playerTurn + 1] += 1
            winner = sum(scores) == cols * rows / 2
            # If the game is over show a different message
            if winner:
                print(""Hit Enter to Continue"")
            else:
                input(""Player "" + str(playerTurn) + "" hit Enter to go again."")
        else:
            memoryBoard.flipCard(selectedCards[0][0], selectedCards[1][0])
            memoryBoard.flipCard(selectedCards[0][1], selectedCards[1][1])
            print(""No Match"")
            playerTurn += 1
            input(""Hit Enter for Player "" + str(playerTurn + 1))
    # Find the winning score value
    highScore = max(scores)
    # Check for a tie/winner
    if scores.count(highScore) > 1:
        print(""The following players tied: "", end="""")
        for i in range(len(scores)):
            if scores[i] == highScore:
                print(i, end="" "")
    else:
        print(""The winner is player "" + str(scores.index(highScore) + 1))
# Print the scoreboard and gameboard
def printGameBoard(scores, board):
    os.system('cls||clear') # Comment this out if running in PyCharm
    for i in range(len(scores)):
        print(""Player "" + str(i + 1) + "": "" + str(scores[i]))
    print()
    print(board)
main()","","48","299037","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","1250","305884","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","436","305888","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","291","305897","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","163","305903","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Creating file /Users/user/Documents/CS1400/Davidson-Paige-Unit7/memory_bugs.txt",,,"355899","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Creating file /Users/user/Documents/CS1400/Davidson-Paige-Unit7/plan1.txt",,,"393470","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"414478","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"p","You will only create Software Designs for the GameBoard and MemoryCard classes. Include UML and designs for each public method, including __init__(). ",,"0","414485","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","You will only create Software Designs for the GameBoard and MemoryCard classes. Include UML and designs for each public method, including __init__(). ","","0","414487","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"417184","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e","
","","71","417192","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e",""," ","150","419751","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"e",""," ","70","419754","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Create Python script memorycard.py",,,"548062","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Reformat",,,"548453","plan1.txt","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"689718","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","163","689724","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","163","690797","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"164","690798","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"700485","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","290","700489","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"708573","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","433","708576","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","433","709959","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"434","709959","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"724356","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","1246","724361","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1246","726201","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"1247","726202","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","999","756621","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"1001","756622","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","489","765112","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"490","765113","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","2605","780218","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"2607","780219","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"782561","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","2779","782568","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"789467","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","    
","","2772","789471","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"789902","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","    
","","2777","789905","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"792841","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","
","2789","792854","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"801167","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","2543","801169","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"801403","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","2544","801405","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"820703","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","458","820707","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"820971","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","459","820975","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","    ","2781","828219","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","    ","2776","828226","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","functionality",,,"907216","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","i","121","907221","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","122","907222","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","game-board",,,"918417","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","-","","2539","918422","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","#","","2587","927808","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","#",,"2588","927809","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","2588","928259","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"2589","928259","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","#","","448","943173","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","#",,"449","943174","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","449","943464","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"450","943465","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","290","966745","task1.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"291","966746","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"1126684","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","# Paige Davidson
# CS1400 - MO1
# Assignment ??
","","0","112322701","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Backspace",,,"112325902","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","","?","46","112325904","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Backspace",,,"112326076","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","","?","45","112326078","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","7","","45","112326434","task2.py","1.1.2 for 2021-2022 @t1","2"
"k","7",,"46","112326435","task2.py","1.1.2 for 2021-2022 @t1","2"
"e"," ","","46","112326452","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Enter",,,"112326896","task2.py","1.1.2 for 2021-2022 @t1","2"
"e",""," ","46","112326898","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","
","","46","112326899","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Enter",,,"112327294","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","
","","48","112327296","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Paste",,,"112328357","task2.py","1.1.2 for 2021-2022 @t1","2"
"p","from random import randint

# Remember how to use this kind of variable?
count = 0

def main():
    print(""Welcome to Recursion Fun"")

    # aggienacci calculation
    value = eval(input(""Enter a number to find it's aggienacci value: ""))
    print(""The aggienacci value of "" + str(value) + "" is "" + str(round(aggienacci(value), 4)))

    print()

    # Recursive search and sort
    key = eval(input(""Enter a number to search for: ""))
    numList = []
    for i in range(200000):
        if randint(0, 2) == 0:
            numList.append(i)

    numPos = binarySearch(numList, key)

    if numPos == -1:
        print(""Your number, "" + str(key) + "", is not in the list"")
    else:
        print(""Your number, "" + str(key) + "", is in the list at position "" + str(numPos))

    print(""Total recursive calls: "" + str(count))




main()
",,"48","112328363","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","from random import randint

# Remember how to use this kind of variable?
count = 0

def main():
    print(""Welcome to Recursion Fun"")

    # aggienacci calculation
    value = eval(input(""Enter a number to find it's aggienacci value: ""))
    print(""The aggienacci value of "" + str(value) + "" is "" + str(round(aggienacci(value), 4)))

    print()

    # Recursive search and sort
    key = eval(input(""Enter a number to search for: ""))
    numList = []
    for i in range(200000):
        if randint(0, 2) == 0:
            numList.append(i)

    numPos = binarySearch(numList, key)

    if numPos == -1:
        print(""Your number, "" + str(key) + "", is not in the list"")
    else:
        print(""Your number, "" + str(key) + "", is in the list at position "" + str(numPos))

    print(""Total recursive calls: "" + str(count))




main()
","","48","112328364","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Deleting file task2.py",,,"112353547","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Create Python script task2.py",,,"112364736","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","","7

from random import randint

# Remember how to use this kind of variable?
count = 0

def main():
    print(""Welcome to Recursion Fun"")

    # aggienacci calculation
    value = eval(input(""Enter a number to find it's aggienacci value: ""))
    print(""The aggienacci value of "" + str(value) + "" is "" + str(round(aggienacci(value), 4)))

    print()

    # Recursive search and sort
    key = eval(input(""Enter a number to search for: ""))
    numList = []
    for i in range(200000):
        if randint(0, 2) == 0:
            numList.append(i)

    numPos = binarySearch(numList, key)

    if numPos == -1:
        print(""Your number, "" + str(key) + "", is not in the list"")
    else:
        print(""Your number, "" + str(key) + "", is in the list at position "" + str(numPos))

    print(""Total recursive calls: "" + str(count))




main()
","45","112364741","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","??","","45","112364742","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Reformat",,,"112364765","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Enter",,,"112372627","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","
","","48","112372629","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Enter",,,"112373508","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","
","","49","112373509","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Up",,,"112374920","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","EditorChange",,,"112376324","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","EditorChange",,,"112378336","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Deleting file task2.py",,,"112388444","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Create Python script task2.py",,,"112411885","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","","

","48","112411892","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Reformat",,,"112411918","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Deleting file task2.py",,,"112422946","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","EditorChange",,,"112428547","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Create Python script task2.py",,,"112438800","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Reformat",,,"112438833","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Deleting file task2.py",,,"112461911","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Create Python script task2.py",,,"112473597","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Reformat",,,"112473621","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Enter",,,"112643832","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","
","","48","112643834","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Enter",,,"112644039","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","
","","49","112644040","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Up",,,"112644432","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Paste",,,"112645693","task2.py","1.1.2 for 2021-2022 @t1","2"
"p","from random import randint

# Remember how to use this kind of variable?
count = 0

def main():
    print(""Welcome to Recursion Fun"")

    # aggienacci calculation
    value = eval(input(""Enter a number to find it's aggienacci value: ""))
    print(""The aggienacci value of "" + str(value) + "" is "" + str(round(aggienacci(value), 4)))

    print()

    # Recursive search and sort
    key = eval(input(""Enter a number to search for: ""))
    numList = []
    for i in range(200000):
        if randint(0, 2) == 0:
            numList.append(i)

    numPos = binarySearch(numList, key)

    if numPos == -1:
        print(""Your number, "" + str(key) + "", is not in the list"")
    else:
        print(""Your number, "" + str(key) + "", is in the list at position "" + str(numPos))

    print(""Total recursive calls: "" + str(count))




main()
",,"49","112645696","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","from random import randint

# Remember how to use this kind of variable?
count = 0

def main():
    print(""Welcome to Recursion Fun"")

    # aggienacci calculation
    value = eval(input(""Enter a number to find it's aggienacci value: ""))
    print(""The aggienacci value of "" + str(value) + "" is "" + str(round(aggienacci(value), 4)))

    print()

    # Recursive search and sort
    key = eval(input(""Enter a number to search for: ""))
    numList = []
    for i in range(200000):
        if randint(0, 2) == 0:
            numList.append(i)

    numPos = binarySearch(numList, key)

    if numPos == -1:
        print(""Your number, "" + str(key) + "", is not in the list"")
    else:
        print(""Your number, "" + str(key) + "", is in the list at position "" + str(numPos))

    print(""Total recursive calls: "" + str(count))




main()
","","49","112645698","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","EditorChange",,,"113576567","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","EditorChange",,,"113577643","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","EditorChange",,,"113584548","task2.py","1.1.2 for 2021-2022 @t1","2"
"a","Enter",,,"113591227","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","
","","875","113591230","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","d","","872","113592554","task2.py","1.1.2 for 2021-2022 @t1","2"
"k","d",,"873","113592554","task2.py","1.1.2 for 2021-2022 @t1","2"
"e"," ","","873","113592565","task2.py","1.1.2 for 2021-2022 @t1","2"
"e",""," ","873","113592610","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","e","","873","113592611","task2.py","1.1.2 for 2021-2022 @t1","2"
"k","e",,"874","113592610","task2.py","1.1.2 for 2021-2022 @t1","2"
"e"," ","","874","113592618","task2.py","1.1.2 for 2021-2022 @t1","2"
"e",""," ","874","113592853","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","f","","874","113592854","task2.py","1.1.2 for 2021-2022 @t1","2"
"k","f",,"875","113592878","task2.py","1.1.2 for 2021-2022 @t1","2"
"e"," ","","875","113592971","task2.py","1.1.2 for 2021-2022 @t1","2"
"k"," ",,"876","113592972","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","a","","876","113595999","task2.py","1.1.2 for 2021-2022 @t1","2"
"k","a",,"877","113595999","task2.py","1.1.2 for 2021-2022 @t1","2"
"e"," ","","877","113596014","task2.py","1.1.2 for 2021-2022 @t1","2"
"e",""," ","877","113596520","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","g","","877","113596521","task2.py","1.1.2 for 2021-2022 @t1","2"
"k","g",,"878","113596533","task2.py","1.1.2 for 2021-2022 @t1","2"
"e","g","","878","113596707","task2.py","1.1.2 for 2021-2022 @t1","2"
"k","g",,"879","113596707","task2.py","1.1.2 for 2021-2022 @t1","2"
