"k","r",,"74","80207385","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","74","80207417","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","74","80207614","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","74","80207615","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"75","80207621","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","75","80207646","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","75","80207763","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","75","80207764","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"76","80207771","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","g","","76","80207937","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","g",,"77","80207950","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","77","80208013","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"78","80208021","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80210135","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","e","77","80210139","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80210321","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","g","76","80210325","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80210488","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","75","80210492","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80210654","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","a","74","80210656","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80210834","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","73","80210837","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80210999","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","72","80211002","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80211175","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","71","80211178","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80211355","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","i","70","80211359","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80211534","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","69","80211538","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80211710","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","I","68","80211714","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80211879","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","67","80211882","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80212053","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","66","80212055","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80212289","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","65","80212291","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80212602","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","f","64","80212605","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"80262145","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Copy",,,"80279209","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"c","NumberPyramid",,"20","80279226","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"80280510","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"80283653","task1.py","1.1.2 for 2021-2022 @t1","0"
"p","NumberPyramid",,"52","80283659","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","main","52","80283677","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","NumberPyramid","","52","80283678","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","NumberPyramid","52","80283998","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","main","","52","80283999","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"80288225","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","main","52","80288228","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","umberPyramid","","52","80288229","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","52","80288548","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"53","80288549","task1.py","1.1.2 for 2021-2022 @t1","0"
